card_id,ops_value,intel_oc,intel_ec,card_type,reaction_type,title,subtitle,card_text,south_pacific,remove_if_event_played,draw_card,replace_from_discard,reshuffle_deck,pw_change,isr_end,isr_start,intel_status,logistics_value,wie_level,china,india,sub,weather,kamikaze
44,2,2,-,Military,,Operation Squarepeg,Green Is. Invasion,"Activate: Anzac HQ only.
Logistic Value: 2
Intelligence: Surprise Attack.
Conditions: Any air or naval units may be activated, but the only ground unit that can be activated is the 3rd NZ division.",Y,,,,,,,,Surprise,2,,,,,,
45,3,3,5,Military,,Operation Flintlock,Marshall Is. Invasion,"Activate: Any HQ.
Logistic Value: 8 if US Central Pac HQ, for all others: 4",,,,,,,,,,8,,,,,,
46,2,2,-,Military,,Operation Brewer,Admiralty Is. Invasion,"Activate: SW HQ only.
Logistic Value: 1
Intelligence: Surprise Attack.",Y,,,,,,,,Surprise,1,,,,,,
47,2,2,-,Political,,WAR IN EUROPE,Major Allied Victory,"Increase the War in Europe marker a number of spaces equal to the value associated with the year of the current game turn:
1942: 1
1943: 2
1944: 3
1945: 3",,Y,,,,,,,,,Major,,,,,
48,2,2,4,Military,,New China Army,Stilwell Burma Offensive,"Activate: Any HQ.
Logistic Value: 4 if SEAC HQ, for all others: 3
Conditions: Only ground and air units may be activated.
Bonus: The Allies receive one Chinese ground replacement step for a reduced Chinese unit.  This replacement step cannot be saved and is lost if not used immediately.  Additionally, all Chinese army units may then be activated at no additional activation cost.",,,,,,,,,,4,,,,,,
49,1,1,-,Political,,Roosevelt Threatens Chungking,Chinese Army Offensive,"Move the China marker one box to the right toward the Stable Front box, unless this would put the China marker in the Stable Front box, in which case no effect.",,Y,,,,,,,,,,1,,,,
50,2,2,4,Military,,Tornado Taskforce,Hollandia Invasion,"Activate: Any HQ.
Logistic Value: 4 if US SW Pac HQ, for all others: 3",Y,,,,,,,,,4,,,,,,
51,2,2,4,Military,,Chenault,14th Air Force Offensive,"Activate: Any HQ.
Logistic Value: 4
Condtions: Only air units may be activated.
Bonus: The Allied player receives the non-LRB 14th AF air unit in any friendly, in supply airbase in North India or in the China air unit box.  If neither of those locations is available, then bring the air unit into any friendly in supply airbase.  If the US AVG air unit is in play, immediately remove it from the game.",,Y,,,,,,,,4,,,,,,
52,1,1,-,Political,,Roosevelt-Nimitz-MacArthur,End of US Army-Navy Dispute,"This event ends a US inter-service rivalry.  Flip the US Inter-Service Rivalry marker to its Strategic Agreement side.  If the US Inter-Service Rivalry marker is already on Strategic Agreement side there is no additional effect.
Bonus: If this card is played as an event, the Allies have the option to discard a card of their choice and replace it with any card from the discard pile (not those removed from play).",Y,Y,,Y,,,Y,,,,,,,,,
53,3,3,5,Military,,Operation Forager II,Invasion of Saipan and Tinian,"Activate: Any HQ.
Logistic Value: 6 if US Central Pac HQ, for all others: 4",,,,,,,,,,6,,,,,,
54,2,2,4,Military,,Hurricane Taskforce,Biak Invasion,"Activate: Any HQ.
Logistic Value: 4 if US SW Pac HQ, for all others: 3",,,,,,,,,,4,,,,,,
55,3,3,5,Military,,Operation Forager,Marianas Is. Invasion,"Activate: Any HQ.
Logistic Value: 6 if US Central Pac HQ, for all others: 4
The Great Marianas Turkey Shoot: Japanese aircraft carrier naval units have their attack strength reduced by 2 for the duration of this Offensive.  In addition, at the conclusion of the Offensive, one active Japanese air unit or an air unit in a battle hex (Allied Player's choice) loses one step, which may eliminate the air unit.",,,,,,,,,,6,,,,,,
56,2,2,4,Military,,Typhoon Taskforce,New Guinea: Vogelkop Invasion,"Activate: Any HQ.
Logistic Value: 4 if US SW Pac HQ, for all others: 3",Y,,,,,,,,,4,,,,,,
57,2,2,4,Military,,Axiom,British Amphibious Rangoon-Singapore Operation.,"Activate: Any Commonwealth or Joint HQ.
Logistic Value: 5
Conditions: Only Commonwealth and Chinese units plus US air units may be activated.",,,,,,,,,,5,,,,,,
58,2,2,4,Military,,Operation Romulus,British Arakan Offensive,"Activate: SEAC HQ only.
Logistic Value: 4
Conditions: Only Commonwealth and Chinese units plus US air units may be activated.",,,,,,,,,,4,,,,,,
59,1,1,-,Reaction,Intelligence,Ultra Information,Japanese Burma Operation is penetrated,"Intelligence: Intercept.
Draw one Strategy Card.",,,Y,,,,,,Intercept,,,,,,,
60,3,3,-,Military,,20th Bomber Command,B29 Raids from China,Randomly remove one card from the Japanese hand if a B29 air unit is located in the China air unit box.,,Y,,,,,,,,,,,,,,
61,1,1,-,Reaction,Attack,Submarine Attack,Darter-Dace,"Play during an Offensive prior to combat against any active Japanese naval units or against any active Japanese naval unit if no battle hexes are declared during the Offensive.  On a die roll of:
0-4: Japanese lose one naval step*
5-7: Japanese lose two naval steps* (can eliminate a unit)
8-9: No Effect.
*Japanese chooses
Draw one Strategy Card.",,Y,Y,,,,,,,,,,,2,,
62,3,3,5,Military,,Operation King II,"A-Day - ""I Have Returned""
Invasion of Leyte","Activate: Any HQ.
Logistic Value: 8 if SW Pac HQ, for all others: 6
Conditions: may only be played as an event if at least one battle hex is declared in a Philippine hex.",,Y,,,,,,,,8,,,,,,
63,3,3,5,Military,,Operation Stalemate,Invasion of Pelelu and Ulithi,"Activate: Any HQ.
Logistic Value: 6 if US Central Pac HQ, for all others: 4",,,,,,,,,,6,,,,,,
64,2,2,4,Military,,Tradewind Taskforce,Morotai Invasion,"Activate: Any HQ.
Logistic Value: 4 if US SW Pac HQ, for all others: 3",Y,,,,,,,,,6,,,,,,
65,3,3,5,Military,,"MacArthur ""moral obligation""",US Invades Philippines,"Activate: Any HQ.
Logistic Value: 8 if SW Pac HQ, for all others: 6
Conditions: This card may only be played as an event if at least one battle hex is declared in a Philippine hex.
Bonus: This event ends a US inter-service rivalry.  Flip the US Inter-Service Rivalry marker to its Strategic Agreement side.  If the US Inter-Service Rivalry marker is already on Strategic Agreement side there is no additional effect.",,Y,,,,,Y,,,8,,,,,,
66,2,2,-,Political,,WAR IN EUROPE,Major Allied Victory,"Increase the War in Europe marker a number of spaces equal to the value associated with the year of the current game turn:
1942: 1
1943: 2
1944: 3
1945: 3",Y,Y,,,,,,,,,Major,,,,,
67,3,3,-,Military,,Curtis LeMay,Firebombing of Japan,Randomly remove one card from the Japanese hand if a B29 Long Range Bomber air unit is on a hex (not Air Units in China Box) within range of Tokyo.,,Y,,,,,,,,,,,,,,
68,1,1,-,Reaction,Attack,Submarine Attack,Archerfish sinks Shinano,"Play during an Offensive after combat against any active Japanese naval units or against any active Japanese naval unit if no battle hexes are declared during the Offensive.  On a die roll of:
0-7: Japanese lose one naval step (Allies chooses, can eliminated a unit).
8-9: No Effect.
Draw one Strategy Card.",,Y,Y,,,,,,,,,,,1,,
69,3,3,5,Military,,S-Day,MacArthur Invades Luzon,"Activate: Any HQ.
Logistic Value: 8 if SW Pac HQ, for all others: 6
11th Airborne Division: If the 11th Airborne Division is on an airfield with a US air unit, the 11th Airborne division can be placed on any unoccupied hex that is not in an unneutralized Japanese air ZOI and is within the extended range/normal LRB range of the air unit that it is stacked with.",,,,,,,,,,8,,,,,,
70,2,2,4,Military,,Slim's Burma Offensive,,"Activate: SEAC HQ only.
Logistic Value: 6
Conditions: Only Commonwealth and Chinese units plus US air units may be activated.
In addition, the Allied player receives the 7th Armored Brigade.  Place this unit in any friendly in supply, Indian or Burmese port hex.  If this condition cannot be met, the unit is permanently remove from the game.",,Y,,,,,,,,6,,,,,,
71,2,2,4,Military,,Victor Plans,MacArthur Liberates The Philippines,"Activate: Any HQ.
Logistic Value: 6 if SW Pac HQ, for all others: 4",,,,,,,,,,6,,,,,,
72,2,2,4,Military,,Halsey,Carrier Raids on Japan,"Activate: Any HQ.
Logistic Value: 8 if US Central Pac HQ, for all others: 4
Conditions: Only naval units may be activated.
Bonus: If during the offensive a US aircraft carrier naval unit participates in a battle in a Japanese Islands hex, the Allies randomly remove one card from the Japanese hand.",,,,,,,,,,8,,,,,,
73,2,2,-,Political,,WAR IN EUROPE,Major Allied Victory,"Increase the War in Europe marker a number of spaces equal to the value associated with the year of the current game turn:
1942: 1
1943: 2
1944: 3
1945: 3",,Y,,,,,,,,,Major,,,,,
74,3,3,5,Military,,Operation Iceberg,Okinawa Invasion,"Activate: Any HQ.
Logistic Value: 8 if US Central Pac HQ, for all others: 4
Conditions: An Allied ground unit must make an amphibious move to a hex within 10 hexes of Tokyo or this card may only be used as an OC.",,,,,,,,,,8,,,,,,
75,3,3,5,Military,,Operation Detachment,Iwo Jima,"Activate: Any HQ.
Logistic Value: 8 if US Central Pac HQ, for all others: 4
Conditions: An Allied ground unit must make an amphibious move to a hex within 10 hexes of Tokyo or this card may only be used as an OC.",,,,,,,,,,8,,,,,,
76,2,2,4,Military,,Oboe,Australians Invade Borneo,"Activate: Any HQ.
Logistic Value: 5
Conditions: Any nationality air and naval units may be activated, but only Australian ground units may be activated.",,,,,,,,,,5,,,,,,
77,2,2,-,Political,,Mao Tse Tung,Communits Offensive,"Move the China marker one box to the right toward the Stable Front box, unless this would put the China marker in the Stable Front box, in which case no effect.",,Y,,,,,,,,,,1,,,,
78,1,1,-,Reaction,Attack,Submarine Attack,British X Craft Attack Singapore,"Play during an offensive before the beginning of the combat phase, or at the conclusion of the Offensive if no battle hexes are declared during the Offensive. On a die roll of:
0-7: Japanese lose one naval step (Allies chooses, can eliminated a unit).
8-9: No Effect.
The target naval unit must be inactive and in a non-Japanese Islands port hex.
Draw one Strategy Card.",,Y,Y,,,,,,,,,,,1,,
79,3,3,-,Political,,Soviets Invade Manchuria,,"China: If the Chinese government has not collapsed, move the China marker two boxes to the right toward the Stable Front box, unless this would put the China marker in the Stable Front box, in which case no effect.
Manchuria: If Tojo has resigned, then this card must be played as an event, and the following additional effect occurs: The Japanese permanently lose two Resource Hexes (3302 and 3303).  Place a Soviet Flag in each hex.
RESHUFFLE: If played as an Event or an OC, place this card back in the deck and the deck is reshuffled at the end of the game turn.  If the Manchuria condition occurs, permanently remove this card from the deck and do not reshuffle.  This card may not be played as a Future Offensive.",,Maybe,,,Maybe,,,,,,,,,,,
80,1,1,-,Military,,New Submarine Doctrine,Japanese Escort Destruction Priority,"The play of this card supersedes the events on Japanese cards 37 and 38 for the reminder of the game, even if they have not yet been played.  Remove the Japanese escort marker from the game.
Additionally, the Japanese lose all Submarine Warfare modifiers for the remainder of the game.",,Y,,,,,,,,,,,,,,
81,2,2,-,Political,,China Offensive,Counter-Offensive in Kweilin-Liuchow,"Move the China marker one box to the right toward the Stable Front box, unless this would put the China marker in the Stable Front box, in which case no effect.",Y,,,,,,,,,,,1,,,,
82,2,2,-,Political,,China Offensive,Battle of Changsa-Hengyang,"Move the China marker one box to the right toward the Stable Front box, unless this would put the China marker in the Stable Front box, in which case no effect.",Y,,,,,,,,,,,1,,,,
83,2,2,-,Political,,China Offensive,Battle for Central Honan,"Move the China marker one box to the right toward the Stable Front box, unless this would put the China marker in the Stable Front box, in which case no effect.",,,,,,,,,,,,1,,,,
84,3,3,0,Military,,U.S. Carrier Raids,,Activate: US Central Pac HQ only. Logistics Value: 0. Intelligence :Surprise Attack; this intelligence condition cannot be changed by a reaction card. Conditions: Only US carrier units may be activated. This card cannot be cancelled by a weather card. Remove from play if played as an event,,Y,,,,,,,Surprise,0,,,,,,
